Timestamp	Standing	Do you feel like you are getting a satisfactory undergraduate CS education at ŞEHİR?	Would you recommend ŞEHİR CS to your friends?	What are the strengths of ŞEHİR CS?	What are the weaknesses of ŞEHİR CS?	If you were given the opportunity, what would you change regarding undergraduate CS education at ŞEHİR?
12/12/2016 11:07:03	Junior (Year 3)	Maybe	Maybe	Strength education, homeworks, assignments. They force to study very well	Teaching assistants not very effective extends some of these. 	I dont think about that.
12/12/2016 11:07:35	Junior (Year 3)	Yes	Yes	Rules 	Rules of the department	Curriculum , and some courses  
12/12/2016 11:10:29	Junior (Year 3)	Yes	Yes	Experienced lecturers, courses offered give the opportunity of becoming a versatile engineer after graduation, 	Low number of lecturers, combination of some CS courses with EE courses, 	I would make it more CS based rather than mixing some CS stuff with EE(except those that are must-know for CS students). 
12/12/2016 11:12:34	Junior (Year 3)	Maybe	No	Projects give experiences about  business life for future.	Assistants are not sufficient and they do not have experience about teaching the courses.	I want to teach the system and teaching  procedure with assistants. Assistants should have more experience. 
12/12/2016 11:12:34	Junior (Year 3)	Yes	Yes	A modern approach.	The departmental classes start in the 2nd year which is very late.	The programming must be in first year. I would decrease uni courses.
12/12/2016 11:14:55	Junior (Year 3)	No	Maybe	Very intense course planning	Does not teach programming well because we are starting to learn at second year	Definitely i wll decrease the number of common courses and we should have different exam for common course. For example, we have same exam with historians for the world civilization course and historians already studying that deparment.
12/12/2016 11:15:04	Junior (Year 3)	Maybe	No	Great contact with the academic staff when needed. 	APPLYING CURVE TO ALL THE COURSES: it weaknesses the level of classes and students don't study. Not a good programming course that teaches OOP. Third year students still don't know how to apply OOP logic in their projects. First and second year include courses that are not necessary for a computer engineer. Here I mean that the different Engineering departments should be specified early and not take the same courses till the third year. We don't learn anything related to the Computers in the first year. Teach more math.	Add a better programming course. Teach Python in the first year and the second year teach a different language like Java (because it is better way to teach OOP rather then Python). Open more courses as department electives. Give more real life projects, especially in the third year, not just small assignments that are given each two weeks. 
12/12/2016 11:16:22	Junior (Year 3)	Maybe	Maybe	 strong and good academically professors 	pushing students to practice topics without teaching them , and no many courses in other fields of CS, only few mandatory courses. 	giving less practice homework, and exams, as they are pushing the students, so teaching them the materials well, then giving one project at the end which cover the whole topics, and also providing more courses. 
12/12/2016 11:16:47	Junior (Year 3)	Maybe	Yes	Learning atmosphere, lots of researches to work on with professors, Classes are not crowded.	Not enough departmental courses in 4th year to choose from (what if I just don't want to study bioinformatics!), A LOT OF UNI ELECTIVE COURSES, we start our first programming course only in sophomore year! so we have very limited variety of programming languages in our courses (Java for example starts only in junior year!)	LESS UNI ELECTIVE COURSES, programming courses (at least introductory) in freshman year, Integrating programming in physics/calculus/Chemistry...etc slightly in freshman year, in order to get an idea why we are studying those subjects. I would also suggest an annual competition in order to encourage students to really apply what they learn.
12/12/2016 11:17:47	Junior (Year 3)	No	Yes	A modern approach to CS. Teaching Python, agile development etc and not teaching C++ just from the start and in depth. Taking example of the best universities from abroad and from Turkey. Also, I love project based course grading in our school. n other universities they always take midterm and finals on paper which is not very healthy. In third and fourth grade we have fridays wiyhout any course which leaves us time to develop ourselves and maybe work part-time.	We see so many non CS related courses that we start to learn CS in second grade and with little emphasis while in other colloges people of same age take a lot of CS related  courses that we seem to stay behind, and learn less thing. Also, we don't have much choice while choosing elective courses in CS.	I would put inrto to programming course to year 1.  Also, I would eleminate Chemistry, Biology and maybe Physics 1. Also, I may reduce the amount of general electives. I would make CS course midtrem and finals on computers. Such a non-cheating software can be develped for that and it would be much better than trying to debug code on paper. I would open more CS elective courses. If our advisors could help us arrange internship that would be great espacially abroad but I don't know if that would be viable.
